frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
40,1.3333333333333333,95.27580325458965,50.881973492057405,251.9204864501953,481.47857666015625,1519.0841211280638,343.4040370098109,1036.9953918457031,86.23008728027344,-22492.21772945278,663.7988973004201,-11557.476425170898,-399.1950988769531,209.76616005761718,253.17630104882812,1.200958659780965,1.9017521571550935
41,1.3666666666666667,118.05520531730886,63.372498681315406,244.98878479003906,517.1620483398438,-160.09604757073632,326.3367643335189,1007.5827026367188,-349.3645477294922,-28441.680445019298,-2280.795625624005,-8793.762588500977,-6022.602081298828,211.19456581933593,279.5828562246094,1.1600146236698723,1.84976309106868
42,1.4,84.60273341654056,72.63775778095867,228.6295166015625,548.6507568359375,-377.0279085398892,191.35099530154392,635.4885864257812,-500.020751953125,3469.342391332328,-5972.634087942106,-2509.991455078125,-34009.90905761719,208.162842796875,306.871827171875,1.0983204952896366,1.7878824585896091
43,1.4333333333333333,92.92001141464958,76.12923170141833,211.65406799316406,559.5279541015625,71.19344518475224,-71.83884152928819,-1259.7445678710938,-516.6973114013672,3700.3865341600517,-5371.714878663401,1502.8919219970703,-41931.59408569336,202.47042946679687,324.1802988515625,1.0453579248611868,1.7259776614548754
44,1.4666666666666666,89.34896309552404,67.84850167900612,194.1830291748047,464.66778564453125,-130.3354729292191,-166.7633299426828,-2159.9510192871094,-399.8279571533203,-3488.5518256976184,1302.9168237743193,5577.933883666992,-1888.7008666992188,202.24516396386718,261.39898781640625,0.960136822898258,1.7776189170666987
45,1.5,84.23097988603497,65.01167637190615,184.99887084960938,415.5312194824219,-161.37667652842234,15.022280055666428,-1385.657958984375,-144.83505249023438,117.27471837214907,3934.924680088842,7858.060455322266,11141.496276855469,205.1201181875,258.1810312734375,0.9019050519486449,1.6094568118845882
46,1.5333333333333332,78.59051799362922,68.84998701605055,184.52735900878906,372.29058837890625,-122.51715837107582,95.56498206324001,-1417.1846008300781,124.04273986816406,1622.6436982396879,558.2877732290648,5624.92790222168,1424.8512268066406,209.36912636621093,274.6037302480469,0.8813494243942599,1.3557375496779296
47,1.5666666666666667,76.06316932796325,71.38267517612215,193.2683868408203,321.05224609375,-53.20042997910981,52.24146493760408,-1290.6678771972656,230.16014099121094,692.7664326953792,-834.56000329851,-29.810714721679688,11630.669403076172,217.89804177148437,289.0787363515625,0.8869670662001917,1.1106048481660131
48,1.6,75.04382266168857,72.33275134522415,199.87136840820312,286.2460632324219,-76.33272952471721,39.92764851000601,-641.806640625,122.05535888671875,-1048.604530000664,-836.014026760527,-1671.5835571289062,20727.925872802734,228.37057595117187,302.2057810292969,0.8752063070110127,0.9471892372723082
49,1.6333333333333333,70.9743206929821,74.04451841012255,201.40541076660156,278.26513671875,-123.10739864582075,-3.4928035130977264,91.19384765625,118.72123718261719,-571.5474973705053,-968.2936829418704,1670.1107025146484,19403.826141357422,224.69340615136718,312.1471872792969,0.8963565696757589,0.8914548907011917
50,1.6666666666666667,66.83666275196718,72.0998977776843,207.78611755371094,292.3256530761719,-114.43589601608423,-24.625263686118686,651.7817687988281,233.3960723876953,543.1575939383937,-440.1775411926483,381.8950653076172,8260.537719726562,226.26901345117187,314.1084909902344,0.9183145070747857,0.9306518653940503
51,1.7,63.34526095857649,72.4028341643813,216.96514892578125,321.7172546386719,-86.89689238326118,-32.837972925940946,641.8963623046875,144.180908203125,38.770910402322016,-1555.8823267525088,-6595.5047607421875,-10811.116790771484,224.2163858876953,324.3768320546875,0.9676596474731065,0.9918009637150434
52,1.7333333333333334,61.043536593083104,69.91069958262158,217.39817810058594,335.1187438964844,-111.85116865592943,-128.35075213628593,-68.9593505859375,-206.3042449951172,-549.982480458798,-2032.7338059418726,-7742.837905883789,-17224.708557128906,219.66944985253906,329.6461496816406,0.9896605023890314,1.0166014200988818
53,1.7666666666666666,55.88851638151453,63.846117355295576,203.21153259277344,317.1199645996094,-123.56239108051437,-168.35355998873243,-506.41754150390625,-372.00828552246094,870.2648759407618,-220.865328140452,333.3457946777344,-6635.996246337891,206.57643227441406,321.6971445546875,0.9837111153262115,0.9857717731333484
54,1.8,52.806043854382146,58.68712891670608,192.59762573242188,301.3575744628906,-53.833510259878636,-143.0751073456494,-511.3591003417969,-184.08119201660156,1063.4937861460471,555.1300618182898,5146.339416503906,-43.883514404296875,197.50607399804687,304.6475534902344,0.9751478617023518,0.9892007042575865
55,1.8333333333333333,52.29961569752262,54.307776865585616,190.939453125,283.02935791015625,-52.66280533744457,-131.34488920084644,-509.3431091308594,-28.918991088867188,-1073.3892627748553,237.11925433756528,3069.1028594970703,1626.4572143554688,198.05117897851562,289.7018747792969,0.9640914742835887,0.9769676434637369
